CLOSED
Version	2.0
Language	English
Run	1
RunSerial	2124
Instrument	SDT Q600 V20.9 Build 20
Module	DSC-TGA Standard
InstSerial	0600-1647
Operator	CA
File	\\Iquieml784003\ta\Data\SDT\2020\DANIEL ROZO\ACEITE DE LINAZA 25.001
Sample	ACEITE DE LINAZA 25
Size	27.7200	mg
ProcName	Isothermal for \\Iquieml784003\ta\QProcedures\SDT\procedimiento_daniel_rozo.prc
Method	Isothermal for
Comment	TESIS - DANIEL ROZO
Xcomment	Pan: Alumina
Xcomment	Gas1: Nitrogen 100.0 ml/min
Xcomment	Gas2: Nitrogen 0.0 ml/min
Text
Exotherm	Up
Kcell	1.29300
InstCalDate	Weight: 2020-09-29  Time: 15:16:31 TempRange 78.86 to 1455.18 °C
InstCalFile	Weight: \\Iquieml784003\ta\Data\SDT\MTTO 2020 CA-LR\Beams vacios.001 \\Iquieml784003\ta\Data\SDT\MTTO 2020 CA-LR\Beams con masas.001
InstCalDate	Heat Flow: 2020-09-30  Time: 10:04:25 TempRange 108.00 to 1425.05 °C
InstCalFile	Heat Flow: \\Iquieml784003\ta\Data\SDT\MTTO 2020 CA-LR\Crisol vacio 2.001 \\Iquieml784003\ta\Data\SDT\MTTO 2020 CA-LR\Safiro hf.001
InstCalDate	DTA Baseline: 2020-09-30  Time: 11:25:31 TempRange 100.01 to 1464.76 °C
InstCalFile	DTA Baseline: \\Iquieml784003\ta\Data\SDT\MTTO 2020 CA-LR\Beams vacios.001
TempCal	4	pts	20.08	20.40,358.34	358.20,422.71	419.53,929.97	930.80
Controls	Gas 1  Event OFF  Sampling 0.5 sec/pt
AutoAnalysis	Off
MacroFile
Nsig	3
Sig1	Time (min)
Sig2	Temperature (°C)
Sig3	Weight (mg)
Date	2020-10-14
Time	07:42:26
OrgMethod	1: Equilibrate at 25.00 °C
OrgMethod	2: Isothermal for 1440.00 min
OrgFile	E:\DANIEL ROZO\Nitrogeno 25.001
10.42083	22.89042	27.71427					
10.49584	22.87725	27.71424					
10.57083	22.8649	27.71417					
10.64583	22.85192	27.71415					
10.72084	22.84272	27.71415					
10.79583	22.82985	27.71417					
10.875	22.8184	27.71416					
10.95416	22.80326	27.71411					
11.02916	22.79902	27.71406					
11.10417	22.78827	27.714					
11.17916	22.77931	27.714					
11.25416	22.77127	27.714					
11.32916	22.76218	27.71392					
11.40416	22.7611	27.71394					
11.47917	22.75323	27.7139					
11.55416	22.74506	27.7139					
11.62916	22.74156	27.71387					
11.70833	22.73209	27.7138					
11.7875	22.72832	27.71374					
11.8625	22.72368	27.71374					
11.9375	22.72149	27.71384					
12.0125	22.71898	27.7138					
12.0875	22.715	27.71366					
12.1625	22.71446	27.71366					
12.2375	22.71211	27.7137					
12.3125	22.70766	27.7136					
12.3875	22.70585	27.71358					
12.4625	22.70942	27.7136					
12.54166	22.70937	27.71364					
12.62084	22.7134	27.71355					
12.69584	22.71718	27.71352					
12.77083	22.71686	27.71348					
12.84584	22.71874	27.7135					
12.92083	22.71728	27.71343					
12.99583	22.71682	27.71346					
13.07084	22.72067	27.7134					
13.14583	22.7228	27.71341					
13.22084	22.72665	27.71336					
13.29583	22.72954	27.7133					
13.375	22.73532	27.71328					
13.45416	22.73936	27.71324					
13.52916	22.73856	27.71326					
13.60417	22.74096	27.71328					
13.67916	22.74251	27.71324					
13.75417	22.74035	27.71323					
13.82916	22.7425	27.7132					
13.90416	22.74327	27.71316					
13.97917	22.74175	27.71316					
14.05416	22.74439	27.71308					
14.12917	22.74346	27.71308					
14.20834	22.74532	27.71308					
14.2875	22.74628	27.71306					
14.3625	22.74365	27.71306					
14.4375	22.74536	27.71306					
14.5125	22.74678	27.71303					
14.5875	22.7477	27.71306					
14.6625	22.74656	27.71301					
14.7375	22.74938	27.71298					
14.8125	22.74637	27.71299					
14.8875	22.74456	27.71299					
14.9625	22.74456	27.71295					
